iter	Passed	Remaining
753	924	301
754	925	300
755	926	299
756	927	297
757	928	296
758	929	295
759	929	293
760	930	292
761	931	291
762	932	289
763	933	288
764	934	286
765	936	286
766	938	284
767	939	283
768	939	282
769	940	280
770	941	279
771	942	278
772	943	277
773	944	275
774	945	274
775	946	273
776	947	271
777	948	270
778	951	269
779	952	268
780	953	267
781	954	266
782	955	264
783	956	263
784	957	262
785	959	261
786	959	259
787	960	258
788	961	257
789	963	256
790	964	254
791	965	253
792	967	252
793	967	251
794	968	249
795	969	248
796	970	247
797	971	245
798	972	244
799	973	243
800	974	242
801	975	240
802	976	239
803	977	238
804	978	236
805	979	235
806	980	234
807	981	233
808	983	232
809	984	230
810	985	229
811	985	228
812	986	226
813	987	225
814	988	224
815	989	223
816	990	221
817	991	220
818	992	219
819	993	218
820	994	216
821	995	215
822	996	214
823	997	213
824	998	211
825	999	210
826	1000	209
827	1000	207
828	1001	206
829	1002	205
830	1003	204
831	1005	203
832	1006	201
833	1008	200
834	1009	199
835	1010	198
836	1012	197
837	1013	195
838	1014	194
839	1015	193
840	1016	192
841	1017	190
842	1018	189
843	1020	188
844	1022	187
845	1023	186
846	1025	185
847	1026	183
848	1027	182
849	1029	181
850	1030	180
851	1031	179
852	1033	178
853	1034	176
854	1035	175
855	1037	174
856	1039	173
857	1040	172
858	1041	170
859	1042	169
860	1043	168
861	1044	167
862	1045	165
863	1046	164
864	1047	163
865	1048	162
866	1049	161
867	1051	159
868	1052	158
869	1054	157
870	1055	156
871	1056	155
872	1058	154
873	1060	152
874	1061	151
875	1062	150
876	1063	149
877	1064	147
878	1066	146
879	1067	145
880	1068	144
881	1069	143
882	1070	141
883	1071	140
884	1072	139
885	1074	138
886	1075	136
887	1076	135
888	1077	134
889	1078	133
890	1080	132
891	1081	130
892	1082	129
893	1083	128
894	1084	127
895	1086	126
896	1087	124
897	1088	123
898	1089	122
899	1090	121
900	1091	119
901	1092	118
902	1094	117
903	1096	116
904	1097	115
905	1098	113
906	1099	112
907	1100	111
908	1101	110
909	1102	109
910	1103	107
911	1104	106
912	1105	105
913	1106	104
914	1107	102
915	1109	101
916	1110	100
917	1111	99
918	1112	98
919	1113	96
920	1114	95
921	1115	94
922	1116	93
923	1117	91
924	1118	90
925	1120	89
926	1121	88
927	1123	87
928	1124	85
929	1126	84
930	1126	83
931	1128	82
932	1129	81
933	1130	79
934	1131	78
935	1132	77
936	1134	76
937	1136	75
938	1137	73
939	1138	72
940	1139	71
941	1140	70
942	1141	68
943	1142	67
944	1143	66
945	1144	65
946	1145	64
947	1146	62
948	1147	61
949	1148	60
950	1150	59
951	1151	58
952	1152	56
953	1154	55
954	1155	54
955	1157	53
956	1159	52
957	1161	50
958	1162	49
959	1164	48
960	1166	47
961	1167	46
962	1168	44
963	1169	43
964	1170	42
965	1170	41
966	1171	39
967	1172	38
968	1173	37
969	1174	36
970	1175	35
971	1176	33
972	1176	32
973	1180	31
974	1181	30
975	1182	29
976	1183	27
977	1184	26
978	1186	25
979	1187	24
980	1188	23
981	1189	21
982	1190	20
983	1191	19
984	1191	18
985	1194	16
986	1195	15
987	1196	14
988	1197	13
989	1198	12
990	1200	10
991	1201	9
992	1203	8
993	1204	7
994	1205	6
995	1206	4
996	1209	3
997	1210	2
998	1211	1
999	1212	0
